month;day;Seasonality
5;3;1.307010121
5;4;1.61885815
5;5;1.61197915
5;6;1.800005167
5;7;1.274908119
5;8;0.016051001
5;9;0.057325005
5;10;1.786247166
5;11;1.701406158
5;12;1.705992159
5;13;0.86446108
5;14;0.871340081
5;15;0.013758001
5;16;0.057325005
5;17;1.593635148
5;18;1.524845142
5;19;1.639495152
5;20;1.589049148
5;21;1.39873013
5;22;0.009172001
5;23;0.025223002
5;24;0.685607064
5;25;1.529431142
5;26;1.630323152
5;27;1.712871159
5;28;1.222169114
5;29;0.013758001
5;30;0.055032005
5;31;1.29554512
6;1;2.25401921
6;2;1.219876113
6;3;1.430832133
6;4;1.251978116
6;5;0.041274004
6;6;0.027516003
6;7;1.465227136
6;8;1.641788153
6;9;1.61656515
6;10;1.589049148
6;11;1.261150117
6;12;0.004586
6;13;0.027516003
6;14;1.517966141
6;15;1.61656515
6;16;1.566119146
6;17;1.517966141
6;18;1.190067111
6;19;0.009172001
6;20;0.025223002
6;21;1.281787119
6;22;1.323061123
6;23;1.50420814
6;24;1.318475123
6;25;1.034143096
6;26;0.038981004
6;27;0.038981004
6;28;1.389558129
6;29;1.327647123
6;30;1.845865172
7;1;2.178350202
7;2;1.201532112
7;3;0.059618006
7;4;0.013758001
7;5;1.313889122
7;6;1.882553175
7;7;1.302424121
7;8;1.309303122
7;9;1.18777411
7;10;0.059618006
7;11;0.020637002
7;12;1.212997113
7;13;1.302424121
7;14;0.981404091
7;15;1.274908119
7;16;0.985990092
7;17;0.022930002
7;18;0.006879001
7;19;1.091468101
7;20;1.130449105
7;21;1.054780098
7;22;1.050194098
7;23;0.770448072
7;24;0.020637002
7;25;0.016051001
7;26;1.034143096
7;27;1.043315097
7;28;1.082296101
7;29;1.004334093
7;30;0.903442084
7;31;0.11006401
8;1;0.667263062
8;2;0.827773077
8;3;0.869047081
8;4;0.935544087
8;5;1.018092095
8;6;0.988283092
8;7;0.059618006
8;8;0.004586
8;9;0.75210407
8;10;0.832359077
8;11;0.701658065
8;12;0.86216808
8;13;0.708537066
8;14;0.004586
8;15;0.013758001
8;16;0.720002067
8;17;0.823187077
8;18;0.839238078
8;19;0.85528908
8;20;0.667263062
8;21;0.002293
8;22;0.011465001
8;23;0.75669007
8;24;1.0800031
8;25;0.885098082
8;26;1.118984104
8;27;0.807136075
8;28;0.009172001
8;29;0.052739005
8;30;0.912614085
8;31;1.139621106
9;1;2.056821191
9;2;1.366628127
9;3;0.924079086
9;4;0.004586
9;5;0.025223002
9;6;1.251978116
9;7;1.50650114
9;8;1.247392116
9;9;1.60968615
9;10;1.112105103
9;11;0.013758001
9;12;0.027516003
9;13;1.327647123
9;14;1.309303122
9;15;1.39643713
9;16;1.453762135
9;17;1.196946111
9;18;0.055032005
9;19;0.022930002
9;20;1.162551108
10;1;1.430832133
10;2;1.302424121
10;3;0.027516003
10;4;0.038981004
10;5;1.621151151
10;6;2.006375187
10;7;1.61885815
10;8;1.637202152
10;9;1.350577126
10;10;0.038981004
10;11;0.045860004
10;12;1.160258108
10;13;1.747266162
10;14;1.683062156
10;15;1.793126167
10;16;1.231341114
10;17;0.011465001
10;18;0.029809003
10;19;1.550068144
10;20;1.61197915
10;21;1.71975016
10;22;1.536310143
10;23;1.135035106
10;24;0.038981004
10;25;0.061911006
10;26;1.345991125
10;27;1.531724142
10;28;1.412488131
10;29;1.556947145
10;30;1.256564117
10;31;0.009172001
11;1;0.419619039
11;2;1.327647123
11;3;1.568412146
11;4;1.50650114
11;5;1.563826145
11;6;1.307010121
11;7;0.057325005
11;8;0.038981004
11;9;1.419367132
11;10;1.522552142
11;11;1.160258108
11;12;1.687648157
11;13;1.313889122
11;14;0.016051001
11;15;0.027516003
11;16;1.552361144
11;17;1.61197915
11;18;1.536310143
11;19;1.469813137
11;20;1.199239111
11;21;0.011465001
11;22;0.043567004
11;23;1.449176135
11;24;1.650960153
11;25;1.540896143
11;26;1.50191514
11;27;1.169430109
11;28;0.084841008
11;29;0.029809003
11;30;1.375800128
12;1;2.1485412
12;2;1.896311176
12;3;1.82522817
12;4;1.274908119
12;5;0.100892009
12;6;0.022930002
12;7;1.066245099
12;8;1.279494119
12;9;1.634909152
12;10;1.444590134
12;11;1.497329139
12;12;0.041274004
12;13;0.036688003
12;14;1.309303122
12;15;1.460641136
12;16;1.499622139
12;17;1.472106137
12;18;1.118984104
12;19;0.061911006
12;20;0.025223002
12;21;1.029557096
12;22;1.132742105
12;23;0.930958087
12;24;0.405861038
12;25;0.022930002
12;26;0.009172001
12;27;0.011465001
12;28;0.545734051
12;29;0.582422054
12;30;0.486116045
12;31;0.369173034
