time;created;resolved;backlog
103200;0;0;75636
103680;484;0;76120
104160;453;0;76573
104640;284;0;76857
105120;254;0;77111
105600;482;0;77593
106080;0;0;77593
106560;0;0;77593
107040;530;0;78123
107520;261;0;78384
108000;599;0;78983
108480;353;0;79336
108960;468;0;79804
109440;0;0;79804
109920;0;0;79804
110400;400;0;80204
110880;353;0;80557
111360;544;0;81101
111840;530;0;81631
112320;323;0;81954
112800;0;0;81954
113280;0;0;81954
113760;361;0;82315
114240;453;0;82768
114720;545;0;83313
115200;338;0;83651
115680;491;0;84142
116160;0;0;84142
116640;0;0;84142
117120;515;0;84657
117600;522;0;85179
118080;752;0;85931
118560;553;0;86484
119040;659;0;87143
119520;0;0;87143
120000;0;0;87143
120480;569;0;87712
120960;568;0;88280
121440;598;0;88878
121920;714;0;89592
122400;453;0;90045
122880;0;0;90045
123360;0;0;90045
123840;638;0;90683
124320;483;0;91166
124800;653;0;91819
125280;898;0;92717
125760;691;0;93408
126240;0;0;93408
126720;0;0;93408
127200;576;0;93984
127680;599;0;94583
128160;553;0;95136
128640;560;0;95696
129120;399;0;96095
129600;0;0;96095
130080;0;0;96095
130560;837;0;96932
131040;668;0;97600
131520;637;0;98237
132000;422;0;98659
132480;684;0;99343
132960;0;0;99343
133440;0;0;99343
133920;515;0;99858
134400;913;0;100771
134880;614;0;101385
135360;691;0;102076
135840;729;0;102805
136320;0;0;102805
136800;0;0;102805
137280;668;0;103473
137760;223;0;103696
138240;483;0;104179
138720;645;0;104824
139200;844;0;105668
139680;0;0;105668
140160;0;0;105668
140640;722;0;106390
141120;637;0;107027
141600;883;0;107910
142080;583;0;108493
142560;630;0;109123
143040;0;0;109123
143520;0;0;109123
144000;645;0;109768
144480;668;0;110436
144960;530;0;110966
145440;422;0;111388
145920;185;0;111573
146400;0;0;111573
146880;0;0;111573
147360;569;0;112142
147840;751;0;112893
148320;530;0;113423
148800;721;0;114144
149280;361;0;114505
149760;0;0;114505
150240;0;0;114505
150720;369;0;114874
